kreis_id;kreis_name;bev_total_2024;m_u18;w_u18;m_18_34;w_18_34;m_35_59;w_35_59;m_60_74;w_60_74;m_75plus;w_75plus;bev_18_35;bev_65_plus
05166;Viersen, Landkreis;297857.0;24587.0;24100.0;27477.0;24243.0;48945.0;51108.0;30756.0;32864.0;14135.0;19642.0;51720.0;71125.0
05170;Wesel, Landkreis;457918.0;38687.0;36615.0;40374.0;37281.0;74114.0;76753.0;47852.0;52629.0;21985.0;31628.0;77655.0;114563.0
05313;Aachen, kreisfreie Stadt (bis 20.10.2009);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
05314;Bonn, kreisfreie Stadt;323336.0;27451.0;25857.0;39800.0;41718.0;51806.0;53517.0;24626.0;27658.0;12083.0;18820.0;81518.0;61838.0
05315;Kï¿½ln, kreisfreie Stadt;1024621.0;83962.0;79024.0;123282.0;130646.0;177739.0;178636.0;75620.0;83107.0;37447.0;55158.0;253928.0;184849.0
05316;Leverkusen, kreisfreie Stadt;168581.0;14813.0;14234.0;17488.0;15810.0;28449.0;28418.0;14688.0;15867.0;7528.0;11286.0;33298.0;36445.0
05334;Stï¿½dteregion Aachen, Landkreis;582410.0;46031.0;44213.0;82071.0;64787.0;90773.0;89051.0;51335.0;54280.0;24431.0;35438.0;146858.0;123756.0
05354;Aachen, Landkreis (bis 20.10.2009);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
05358;Dï¿½ren, Landkreis;279285.0;24974.0;23147.0;28292.0;25111.0;46331.0;45967.0;27374.0;29178.0;12118.0;16793.0;53403.0;63045.0
05362;Rhein-Erft-Kreis;477988.0;43520.0;40581.0;45228.0;41713.0;81307.0;82793.0;43410.0;47784.0;21342.0;30310.0;86941.0;105888.0
05366;Euskirchen, Landkreis;202609.0;17840.0;16532.0;19320.0;16879.0;33521.0;33810.0;21226.0;22311.0;8816.0;12354.0;36199.0;47216.0
05370;Heinsberg, Landkreis;263681.0;23057.0;22025.0;25400.0;22434.0;43919.0;44310.0;27121.0;28282.0;11196.0;15937.0;47834.0;60073.0
05374;Oberbergischer Kreis;274057.0;24779.0;24262.0;25957.0;23462.0;44825.0;45514.0;27514.0;28703.0;11962.0;17079.0;49419.0;62452.0
05378;Rheinisch-Bergischer Kreis;284273.0;24558.0;23429.0;24215.0;22311.0;46912.0;49518.0;28231.0;30135.0;14295.0;20669.0;46526.0;68994.0
05382;Rhein-Sieg-Kreis;605441.0;54363.0;50417.0;56326.0;50869.0;100152.0;103470.0;58319.0;63483.0;28467.0;39575.0;107195.0;140028.0
05512;Bottrop, kreisfreie Stadt;118535.0;10032.0;9552.0;11030.0;10229.0;19538.0;19744.0;11775.0;13286.0;5240.0;8109.0;21259.0;28840.0
05513;Gelsenkirchen, kreisfreie Stadt;267930.0;26528.0;25016.0;28813.0;26642.0;44183.0;42997.0;23125.0;25068.0;9901.0;15657.0;55455.0;54700.0
05515;Mï¿½nster, kreisfreie Stadt;308258.0;23994.0;22286.0;43047.0;48265.0;46123.0;47043.0;23325.0;26049.0;10974.0;17152.0;91312.0;57608.0
05554;Borken, Landkreis;380796.0;35756.0;34674.0;39529.0;34057.0;64206.0;62998.0;36431.0;37577.0;14757.0;20811.0;73586.0;78461.0
05558;Coesfeld, Landkreis;227859.0;20416.0;19643.0;21367.0;18616.0;37582.0;38015.0;23128.0;24900.0;10093.0;14099.0;39983.0;52986.0
05562;Recklinghausen, Landkreis;621305.0;54562.0;50922.0;57982.0;52898.0;101766.0;103735.0;61444.0;68445.0;27691.0;41860.0;110880.0;149333.0
05566;Steinfurt, Landkreis;451712.0;41481.0;39175.0;46123.0;39819.0;76112.0;75313.0;43444.0;45509.0;18029.0;26707.0;85942.0;96894.0
05570;Warendorf, Landkreis;282639.0;25747.0;24181.0;26738.0;24296.0;47375.0;47135.0;27471.0;29438.0;12611.0;17647.0;51034.0;64339.0
05711;Bielefeld, kreisfreie Stadt;331605.0;29175.0;27859.0;38376.0;38793.0;53656.0;53568.0;26524.0;29861.0;13280.0;20513.0;77169.0;67444.0
05754;Gï¿½tersloh, Landkreis;363982.0;33703.0;31511.0;36940.0;32291.0;62426.0;61207.0;33669.0;35569.0;14839.0;21827.0;69231.0;77074.0
