
kreis_id;kreis_name;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.2020;31.12.2021;31.12.2022;31.12.2023;31.12.2024
08222;Mannheim, kreisfreie Stadt;309721;311831;314961;316256;318035
08225;Neckar-Odenwald-Kreis;143797;143929;145039;145681;145263
08226;Rhein-Neckar-Kreis;548233;549030;556316;557819;558561
08231;Pforzheim, kreisfreie Stadt;126016;125529;133896;135087;134912
08235;Calw, Landkreis;160149;160686;160139;161181;161251
08236;Enzkreis;199752;200237;198950;199878;199745
08237;Freudenstadt, Landkreis;118364;119183;121450;121901;121958
08311;Freiburg im Breisgau, kreisfreie Stadt;230940;231848;235003;236236;237460
08315;Breisgau-Hochschwarzwald, Landkreis;264867;265792;269631;271977;272558
08316;Emmendingen, Landkreis;166862;167945;168004;169470;169787
08317;Ortenaukreis;432580;434535;440768;443482;444858
08325;Rottweil, Landkreis;140166;140446;139968;140344;140237
08326;Schwarzwald-Baar-Kreis;212872;213385;212293;213922;214065
08327;Tuttlingen, Landkreis;141682;142414;143677;144955;145208
08335;Konstanz, Landkreis;286876;288097;289613;291397;291841
08336;L�rrach, Landkreis;228842;229445;235252;237212;238263
08337;Waldshut, Landkreis;171237;171249;170765;171777;171579
08415;Reutlingen, Landkreis;287497;288158;291335;293385;293483
08416;T�bingen, Landkreis;228471;229806;230987;232897;233546
08417;Zollernalbkreis;189862;190545;192726;193339;193326
08421;Ulm, kreisfreie Stadt;126405;126949;127932;128998;129882
08425;Alb-Donau-Kreis;198204;199732;200294;201769;202354
08426;Biberach, Landkreis;202250;203244;205073;206783;207415
08435;Bodenseekreis;217901;218885;219641;221208;220804
08436;Ravensburg, Landkreis;285888;287011;287393;289725;291102
08437;Sigmaringen, Landkreis;130946;131725;132507;132758;132167
09161;Ingolstadt, kreisfreie Stadt;136952;138016;138263;139536;141185
09162;M�nchen, kreisfreie Stadt;1488202;1487708;1490516;1488719;1505005
09163;Rosenheim, kreisfreie Stadt;63591;63508;63641;64453;65274
09171;Alt�tting, Landkreis;111654;112116;112296;113018;113938
09172;Berchtesgadener Land, Landkreis;106327;106389;104372;105108;105292
09173;Bad T�lz-Wolfratshausen, Landkreis;128212;127919;129062;129787;130248
09174;Dachau, Landkreis;155117;155449;151041;151925;153595
09175;Ebersberg, Landkreis;144091;144562;142205;143011;144225
09176;Eichst�tt, Landkreis;133169;133634;134201;135220;135668
09177;Erding, Landkreis;138891;139622;138647;139547;140127
09178;Freising, Landkreis;180313;181144;181568;183535;184564
09179;F�rstenfeldbruck, Landkreis;218740;218579;215511;216912;218227
09180;Garmisch-Partenkirchen, Landkreis;88279;88232;89224;89322;89296
09181;Landsberg am Lech, Landkreis;121019;121466;119654;120966;122107
09182;Miesbach, Landkreis;100183;99978;96557;96730;97152
09183;M�hldorf am Inn, Landkreis;116483;117606;120317;121263;122037
09184;M�nchen, Landkreis;349685;349837;350047;352771;354396
09185;Neuburg-Schrobenhausen, Landkreis;97730;98503;97792;98967;99364
09186;Pfaffenhofen an der Ilm, Landkreis;129128;129772;128537;129497;130781
09187;Rosenheim, Landkreis;261721;263367;255306;256815;258637
09188;Starnberg, Landkreis;136610;136747;138488;138926;139329
09189;Traunstein, Landkreis;177485;178447;170984;172021;175144
09190;Weilheim-Schongau, Landkreis;136134;136642;136811;138052;138957
09261;Landshut, kreisfreie Stadt;73065;73150;68743;68741;71863
09262;Passau, kreisfreie Stadt;52415;53093;52361;52894;53039
09263;Straubing, kreisfreie Stadt;47612;47854;46953;47524;49002
09271;Deggendorf, Landkreis;119479;120521;120091;121137;121844
09272;Freyung-Grafenau, Landkreis;78355;78632;78155;78512;78710
09273;Kelheim, Landkreis;123390;123899;124673;125597;126037
09274;Landshut, Landkreis;161191;162331;160256;161180;162170
09275;Passau, Landkreis;193454;194090;193080;194068;194699
09276;Regen, Landkreis;77313;77176;77503;77439;77267
09277;Rottal-Inn, Landkreis;121800;122252;119864;120475;120497
09278;Straubing-Bogen, Landkreis;101745;102398;102914;103329;103041
09279;Dingolfing-Landau, Landkreis;97244;98045;99509;100727;101035
09361;Amberg, kreisfreie Stadt;42052;41994;42080;42217;42553
09362;Regensburg, kreisfreie Stadt;152270;153542;147509;149664;151389
09363;Weiden in der Oberpfalz, kreisfreie Stadt;42535;42472;42251;42430;42444
09371;Amberg-Sulzbach, Landkreis;102998;103277;103621;104127;103982
09372;Cham, Landkreis;128094;128444;127452;128230;128534
09373;Neumarkt in der Oberpfalz, Landkreis;135225;136062;136901;138214;138693
09374;Neustadt an der Waldnaab, Landkreis;94645;94838;95742;96209;96049
09375;Regensburg, Landkreis;194275;195225;191651;193801;196213
